,Competitor,Men_100_first,Men_110h_first,Men_400_first,Men_LJ_first,Men_HJ_first,Men_PV_first,Men_SP_first,Men_DT_first,Men_JT_first,Men_1500_first,Men_100_best,Men_110h_best,Men_400_best,Men_LJ_best,Men_HJ_best,Men_PV_best,Men_SP_best,Men_DT_best,Men_JT_best,Men_1500_best,Men_100_delta,Men_110h_delta,Men_400_delta,Men_LJ_delta,Men_HJ_delta,Men_PV_delta,Men_SP_delta,Men_DT_delta,Men_JT_delta,Men_1500_delta,All_Time_PB
0,Kevin MAYER,8.904719501335707,7.462686567164179,8.220304151253597,7.34,2.01,4.9,12.44,38.64,60.96,5.773672055427252,9.47867298578199,8.124076809453472,8.288437629506838,7.8,2.08,5.45,16.2,50.54,73.09,5.773672055427252,0.5739534844462835,0.6613902422892926,0.06813347825324101,0.45999999999999996,0.07000000000000028,0.5499999999999998,3.76,11.899999999999999,12.130000000000003,0.0,9126
1,Ashton EATON,9.42507068803016,7.713884992987377,8.497981729339282,7.49,1.96,5.1,12.28,39.69,47.28,5.755947812739831,9.79431929480901,8.136094674556213,8.88888888888889,8.23,2.05,5.3,15.0,46.17,64.83,5.893909626719057,0.3692486067788501,0.42220968156883654,0.39090715954960764,0.7400000000000002,0.08999999999999986,0.20000000000000018,2.7200000000000006,6.480000000000004,17.549999999999997,0.13796181397922602,9045
2,Roman ŠEBRLE,9.398496240601503,7.902298850574713,8.369951872776731,8.11,2.12,4.8,15.43,47.92,70.16,5.7251908396946565,9.398496240601503,7.919366450683945,8.369951872776731,8.11,2.12,5.1,16.47,48.75,71.18,5.7251908396946565,0.0,0.017067600109232473,0.0,0.0,0.0,0.2999999999999998,1.0399999999999991,0.8299999999999983,1.0200000000000102,0.0,9026
3,Damian WARNER,9.606147934678194,7.930785868781543,8.173273395995096,7.43,2.03,4.5,13.6,45.67,62.04,5.270555165144062,9.881422924901187,8.233532934131738,8.487163165711861,8.28,2.09,4.9,15.34,48.82,64.67,5.6667925953910085,0.27527499022299295,0.3027470653501947,0.31388976971676463,0.8499999999999996,0.06000000000000005,0.40000000000000036,1.7400000000000002,3.1499999999999986,2.6300000000000026,0.3962374302469467,9018
4,Tomáš DVOŘÁK,9.416195856873824,7.971014492753623,8.37871805613741,8.07,2.0,5.0,16.57,47.62,69.22,5.482456140350877,9.416195856873824,7.971014492753623,8.37871805613741,8.07,2.0,5.0,16.7,47.62,70.15,5.605381165919282,0.0,0.0,0.0,0.0,0.0,0.0,0.129999999999999,0.0,0.9300000000000068,0.12292502556840557,8902
5,Garrett SCANTLING,8.818342151675486,7.367716008037508,7.636502481863306,6.99,2.07,4.55,13.59,36.89,58.23,5.083022704168078,9.49667616334283,8.094186902133922,8.290155440414507,7.68,2.08,5.15,16.12,51.04,69.37,5.44464609800363,0.678334011667344,0.7264708940964137,0.6536529585512012,0.6899999999999995,0.010000000000000231,0.6000000000000005,2.530000000000001,14.149999999999999,11.140000000000008,0.36162339383555153,8867
6,Bryan CLAY,9.523809523809524,7.768361581920904,8.195041999590247,7.54,1.98,4.5,13.28,46.72,57.96,5.378271782000717,9.66183574879227,8.005822416302765,8.371703641691084,7.96,2.09,5.1,16.27,55.87,72.0,5.378271782000717,0.13802622498274708,0.23746083438186094,0.17666164210083757,0.41999999999999993,0.10999999999999988,0.5999999999999996,2.99,9.149999999999999,14.04,0.0,8832
7,Erki NOOL,9.433962264150944,7.638888888888888,8.652390222799049,7.8,2.03,5.4,14.9,43.4,68.83,5.563798219584569,9.433962264150944,7.638888888888888,8.652390222799049,7.8,2.03,5.4,14.9,45.05,68.83,5.563798219584569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6499999999999986,0.0,0.0,8815
8,Trey HARDEE,9.541984732824426,7.773851590106007,8.240626287597857,7.15,1.97,4.9,13.68,44.75,50.93,5.246589716684156,9.66183574879227,8.124076809453472,8.375209380234507,7.88,2.02,5.35,15.72,52.68,68.99,5.33997864008544,0.11985101596784453,0.35022521934746464,0.13458309263664958,0.7299999999999995,0.050000000000000044,0.4499999999999993,2.040000000000001,7.93,18.059999999999995,0.09338892340128435,8790
9,Tom PAPPAS,9.22509225092251,7.829181494661921,7.957032027053908,7.24,2.18,4.9,15.3,45.43,62.19,5.048805116122518,9.389671361502348,7.913669064748201,8.406893652795292,7.96,2.18,5.2,17.26,51.57,65.9,5.276116778051354,0.16457911057983843,0.08448757008627972,0.44986162574138344,0.7199999999999998,0.0,0.2999999999999998,1.9600000000000009,6.140000000000001,3.710000000000008,0.22731166192883645,8784
